('x','y','z','intensity','index')
(0.7533425, -0.09249887, 0., 2365., 353)
(0.7419133, -0.07797827, 0., 1706., 354)
(0.7341955, -0.06423382, 0., 2748., 355)
(0.79106826, -0.05531692, 0., 3105., 356)
(0.7329941, -0.03841463, 0., 1950., 357)
(0.74854374, -0.02613976, 0., 2509., 358)
(0.76388365, -0.01333368, 0., 1700., 359)
(0.75, 0., 0., 2606., 0)
(0.7498858, 0.0130893, 0., 2949., 1)
(0.81350416, 0.02840819, 0., 769., 2)
(0.7539653, 0.03951365, 0., 2380., 3)
(0.69629973, 0.04869002, 0., 1087., 4)
(0.7541194, 0.0659769, 0., 1485., 5)
(0.7627983, 0.08017334, 0., 3099., 6)
(0.77120835, 0.09469248, 0., 581., 7)
(0.7506232, 0.10549321, 0., 2388., 8)
(0.7664462, 0.12139314, 0., 2635., 9)
(0.76716524, 0.13527192, 0., 2739., 10)
(0.76861405, 0.14940344, 0., 2644., 11)
(0.7786055, 0.1654977, 0., 2764., 12)
(0.7775473, 0.17951094, 0., 2736., 13)
(0.77817714, 0.19402136, 0., 2633., 14)
(0.81620735, 0.2187021, 0., 5090., 15)
(0.7608452, -0.24721363, 0., 2691., 342)
(0.7650438, -0.2338974, 0., 2867., 343)
(0.7526679, -0.21582408, 0., 2872., 344)
(0.76018363, -0.20369062, 0., 2952., 345)
(0.7529495, -0.18773143, 0., 2506., 346)
(0.75026494, -0.17321235, 0., 2549., 347)
(0.75317365, -0.16009203, 0., 2745., 348)
(0.7509448, -0.14596891, 0., 2579., 349)
(0.7592868, -0.13388279, 0., 2865., 350)
(0.7624954, -0.12076744, 0., 2782., 351)
(0.74963295, -0.10535408, 0., 2882., 352)
(0.75036484, -0.09213325, 0., 2365., 353)
(0.7021324, -0.07379713, 0., 2174., 354)
(0.76208895, -0.06667418, 0., 2750., 355)
(0.76413405, -0.05343349, 0., 3459., 356)
(0.7669475, -0.04019405, 0., 1944., 357)
(0.7555394, -0.02638406, 0., 2406., 358)
(0.76488346, -0.01335113, 0., 2800., 359)
(0.761, 0., 0., 2544., 0)
(0.69289446, 0.01209452, 0., 5349., 1)
(0.74254733, 0.02593032, 0., 1625., 2)
(0.7489722, 0.03925197, 0., 2413., 3)
(0.7561536, 0.05287541, 0., 2708., 4)
(0.8039291, 0.07033468, 0., 451., 5)
(0.7856723, 0.08257749, 0., 2531., 6)
(0.6779091, 0.08323676, 0., 651., 7)
(0.74666214, 0.10493652, 0., 1268., 8)
(0.757557, 0.11998524, 0., 2509., 9)
(0.7691349, 0.13561922, 0., 2822., 10)
(0.7754855, 0.1507391, 0., 2705., 11)
(0.77175844, 0.16404232, 0., 2735., 12)
(0.7843679, 0.1810856, 0., 2553., 13)
(0.78205836, 0.19498904, 0., 2849., 14)
(0.7775703, 0.20834933, 0., 2726., 15)
(0.7465794, -0.24257839, 0., 2998., 342)
(0.7506992, -0.22951183, 0., 3098., 343)
(0.7449778, -0.21361898, 0., 2488., 344)
(0.74279696, -0.19903187, 0., 2745., 345)
(0.7519792, -0.1874895, 0., 2755., 346)
(0.76098305, -0.1756868, 0., 2619., 347)
(0.7639333, -0.16237907, 0., 2428., 348)
(0.76861405, -0.14940348, 0., 2597., 349)
(0.7602716, -0.13405643, 0., 2862., 350)
(0.76150775, -0.12061101, 0., 2904., 351)
(0.7634967, -0.1073025, 0., 2515., 352)
(0.7483798, -0.09188952, 0., 2662., 353)
(0.7110831, -0.07473788, 0., 2114., 354)
(0.7670699, -0.06710996, 0., 2419., 355)
(0.77111703, -0.05392179, 0., 3394., 356)
(0.7180146, -0.03762959, 0., 1878., 357)
(0.72855586, -0.02544177, 0., 2427., 358)
(0.7388875, -0.01289736, 0., 1255., 359)
(0.761, 0., 0., 2710., 0)
(0.77452785, 0.02704711, 0., 969., 2)
(0.7649502, 0.04008934, 0., 2426., 3)
(0.75515604, 0.05280565, 0., 2191., 4)
(0.83082634, 0.07268789, 0., 611., 5)
(0.76777095, 0.08069597, 0., 2672., 6)
(0.6193488, 0.07604647, 0., 608., 7)
(0.7506232, 0.10549321, 0., 1715., 8)
(0.76052, 0.12045453, 0., 2573., 9)
(0.77110445, 0.13596652, 0., 2763., 10)
(0.7676325, 0.14921263, 0., 2972., 11)
(0.7737148, 0.16445814, 0., 2812., 12)
(0.77072674, 0.17793629, 0., 2798., 13)
