('x','y','z','intensity','index')
(0.767, 0., 0., 2621., 0)
(0.76088405, 0.01328128, 0., 2011., 1)
(0.7525413, 0.02627932, 0., 1070., 2)
(0.7649502, 0.04008934, 0., 2739., 3)
(0.6863241, 0.04799246, 0., 1063., 4)
(0.76906234, 0.06728423, 0., 1924., 5)
(0.84932166, 0.08926731, 0., 3647., 6)
(0.68287176, 0.08384611, 0., 580., 7)
(0.77042854, 0.10827667, 0., 2624., 8)
(0.7703969, 0.12201887, 0., 2713., 9)
(0.77011967, 0.13579288, 0., 2720., 10)
(0.7754855, 0.1507391, 0., 2687., 11)
(0.77958363, 0.16570562, 0., 3286., 12)
(0.7785217, 0.1797359, 0., 2941., 13)
(0.7772069, 0.19377944, 0., 3011., 14)
(0.7756384, 0.20783168, 0., 5030., 15)
(0.76655155, -0.24906772, 0., 2575., 342)
(0.77078164, -0.23565163, 0., 2683., 343)
(0.7459391, -0.21389464, 0., 2482., 344)
(0.7514903, -0.20136125, 0., 2719., 345)
(0.757801, -0.18894105, 0., 2739., 346)
(0.7678036, -0.17726146, 0., 2445., 347)
(0.7600207, -0.16154742, 0., 2437., 348)
(0.745055, -0.14482406, 0., 2767., 349)
(0.75534755, -0.13318819, 0., 2694., 350)
(0.75261855, -0.11920311, 0., 2897., 351)
(0.753594, -0.10591076, 0., 2546., 352)
(0.75433505, -0.09262074, 0., 2840., 353)
(0.748875, -0.07870997, 0., 1865., 354)
(0.7331993, -0.06414666, 0., 2540., 355)
(0.7521633, -0.05259642, 0., 3293., 356)
(0.7080283, -0.03710623, 0., 1695., 357)
(0.7795248, -0.02722164, 0., 2564., 358)
(0.7798812, -0.01361291, 0., 1471., 359)
(0.754, 0., 0., 2647., 0)
(0.63490325, 0.01108228, 0., 5117., 1)
(0.7555395, 0.02638402, 0., 1234., 2)
(0.7599571, 0.03982766, 0., 2614., 3)
(0.76513165, 0.05350322, 0., 2615., 4)
(0.711283, 0.0622292, 0., 592., 5)
(0.7667764, 0.08059145, 0., 2932., 6)
(0.69577485, 0.08543041, 0., 635., 7)
(0.77637017, 0.1091117, 0., 1622., 8)
(0.7703969, 0.12201887, 0., 2718., 9)
(0.7651956, 0.13492464, 0., 2654., 10)
(0.76665086, 0.14902183, 0., 2381., 11)
(0.76882404, 0.16341859, 0., 2930., 12)
(0.76682925, 0.17703648, 0., 2818., 13)
(0.7684742, 0.19160214, 0., 2880., 14)
(0.77177477, 0.20679642, 0., 2663., 15)
(0.77035576, -0.2503038, 0., 2875., 342)
(0.7746068, -0.23682112, 0., 2809., 343)
(0.7632418, -0.21885611, 0., 2485., 344)
(0.7621154, -0.20420825, 0., 2527., 345)
(0.7558603, -0.18845719, 0., 2856., 346)
(0.76488054, -0.17658661, 0., 2785., 347)
(0.7570862, -0.16092367, 0., 2389., 348)
(0.7705774, -0.1497851, 0., 2544., 349)
(0.7691349, -0.13561927, 0., 2689., 350)
(0.7674338, -0.12154961, 0., 2824., 351)
(0.7674577, -0.10785919, 0., 2704., 352)
(0.763268, -0.09371756, 0., 2737., 353)
(0.7080996, -0.0744243, 0., 2319., 354)
(0.76009655, -0.06649987, 0., 2844., 355)
(0.77710235, -0.05434033, 0., 3874., 356)
(0.7240064, -0.03794361, 0., 1746., 357)
(0.74254733, -0.02593036, 0., 2502., 358)
(0.76088405, -0.01328132, 0., 1177., 359)
(0.751, 0., 0., 2509., 0)
(0.7508856, 0.01310676, 0., 3124., 1)
(0.7325535, 0.02558133, 0., 759., 2)
(0.73898584, 0.03872861, 0., 2481., 3)
(0.7461779, 0.05217784, 0., 1150., 4)
(0.7381803, 0.06458241, 0., 1390., 5)
(0.748875, 0.07870994, 0., 2665., 6)
(0.7444096, 0.09140201, 0., 603., 7)
(0.7743896, 0.10883337, 0., 2595., 8)
(0.7782984, 0.12327036, 0., 2800., 9)
(0.78193736, 0.13787666, 0., 2550., 10)
(0.78235686, 0.15207477, 0., 3053., 11)
(0.7825181, 0.16632935, 0., 2423., 12)
(0.7736499, 0.17861114, 0., 3035., 13)
(0.7665337, 0.1911183, 0., 2854., 14)
(0.76018363, 0.20369059, 0., 5127., 15)
(0.7675026, -0.24937674, 0., 2972., 342)
(0.77173793, -0.235944, 0., 2725., 343)
(0.7622805, -0.21858045, 0., 2640., 344)
(0.7621154, -0.20420825, 0., 2533., 345)
(0.75974154, -0.18942487, 0., 2787., 346)
(0.7590343, -0.17523691, 0., 2699., 347)
(0.74730474, -0.15884456, 0., 2667., 348)
(0.7509448, -0.14596891, 0., 2766., 349)
(0.75633234, -0.13336183, 0., 2755., 350)
(0.7703969, -0.12201892, 0., 2929., 351)
(0.77042854, -0.10827671, 0., 2616., 352)
(0.7682307, -0.09432691, 0., 2570., 353)
(0.70412153, -0.07400618, 0., 2071., 354)
(0.74116886, -0.06484391, 0., 2861., 355)
(0.79805124, -0.05580522, 0., 3682., 356)
(0.73898584, -0.03872864, 0., 1774., 357)
(0.7505425, -0.02620956, 0., 2380., 358)
(0.761884, -0.01329877, 0., 2096., 359)
(0.767, 0., 0., 2471., 0)
(0.79587877, 0.01389212, 0., 3894., 1)
(0.7535407, 0.02631422, 0., 693., 2)
(0.7599571, 0.03982766, 0., 2584., 3)
(0.6603874, 0.04617878, 0., 1475., 4)
(0.78101665, 0.0683301, 0., 802., 5)
(0.7667764, 0.08059145, 0., 3119., 6)
(0.7533425, 0.09249883, 0., 604., 7)
(0.7476524, 0.10507569, 0., 2171., 8)
(0.76842153, 0.12170601, 0., 2582., 9)
(0.7740589, 0.13648747, 0., 2796., 10)
(0.76272434, 0.1482586, 0., 2845., 11)
(0.7658896, 0.16279486, 0., 2730., 12)
(0.7717011, 0.17816123, 0., 2531., 13)
(0.7684742, 0.19160214, 0., 2846., 14)
(0.77950215, 0.20886697, 0., 2673., 15)
(0.76655155, -0.24906772, 0., 2929., 342)
(0.77078164, -0.23565163, 0., 2608., 343)
(0.7469003, -0.21417026, 0., 2626., 344)
(0.73603547, -0.19722015, 0., 2459., 345)
(0.75003856, -0.18700565, 0., 2328., 346)
(0.7473419, -0.17253749, 0., 2500., 347)
(0.73947954, -0.15718126, 0., 2566., 348)
(0.74996316, -0.1457781, 0., 2500., 349)
(0.7592868, -0.13388279, 0., 2856., 350)
(0.76052, -0.12045457, 0., 2621., 351)
(0.7545843, -0.10604994, 0., 2427., 352)
(0.75433505, -0.09262074, 0., 2726., 353)
(0.7080996, -0.0744243, 0., 1915., 354)
(0.76009655, -0.06649987, 0., 2597., 355)
(0.7701195, -0.05385204, 0., 3225., 356)
(0.71202284, -0.03731557, 0., 1543., 357)
(0.7225596, -0.02523237, 0., 2389., 358)
(0.73288834, -0.01279265, 0., 1455., 359)
(0.761, 0., 0., 2354., 0)
(0.6858955, 0.01197235, 0., 5529., 1)
(0.7735285, 0.02701221, 0., 1724., 2)
(0.7769338, 0.04071737, 0., 2770., 3)
(0.72223634, 0.05050369, 0., 4303., 4)
(0.7919748, 0.06928882, 0., 641., 5)
(0.78268874, 0.0822639, 0., 2750., 6)
(0.70570034, 0.0866491, 0., 956., 7)
(0.7674577, 0.10785915, 0., 824., 8)
(0.7674338, 0.12154958, 0., 2483., 9)
(0.76716524, 0.13527192, 0., 2458., 10)
(0.760761, 0.14787696, 0., 2858., 11)
(0.7658896, 0.16279486, 0., 2727., 12)
(0.7678036, 0.17726143, 0., 2526., 13)
(0.757801, 0.188941, 0., 2798., 14)
(0.7708088, 0.20653759, 0., 2723., 15)
(0.7532368, -0.2447415, 0., 2548., 342)
(0.75739336, -0.23155843, 0., 2690., 343)
(0.7584354, -0.2174779, 0., 2642., 344)
(0.75052434, -0.20110244, 0., 2731., 345)
(0.7451871, -0.18579605, 0., 2565., 346)
(0.74636745, -0.17231254, 0., 2463., 347)
(0.75121737, -0.15967621, 0., 2650., 348)
(0.75290805, -0.14635053, 0., 2520., 349)
(0.75534755, -0.13318819, 0., 2618., 350)
(0.7624954, -0.12076744, 0., 2927., 351)
(0.753594, -0.10591076, 0., 2605., 352)
(0.763268, -0.09371756, 0., 2878., 353)
(0.7021324, -0.07379713, 0., 2132., 354)
(0.7800204, -0.06824298, 0., 2702., 355)
(0.7721146, -0.05399155, 0., 3788., 356)
(0.7649502, -0.04008938, 0., 1964., 357)
(0.75154185, -0.02624446, 0., 2572., 358)
(0.7668832, -0.01338603, 0., 1468., 359)
(0.77, 0., 0., 2520., 0)
(0.7728823, 0.01349071, 0., 3694., 1)
(0.70457053, 0.02460414, 0., 683., 2)
(0.7769338, 0.04071737, 0., 2486., 3)
(0.68532646, 0.0479227, 0., 1262., 4)
(0.74116886, 0.06484387, 0., 996., 5)
(0.7538476, 0.07923257, 0., 2578., 6)
(0.7672382, 0.094205, 0., 606., 7)
(0.77042854, 0.10827667, 0., 2486., 8)
(0.7664462, 0.12139314, 0., 2486., 9)
(0.7602716, 0.13405639, 0., 2651., 10)
(0.76566917, 0.14883101, 0., 2709., 11)
(0.7786055, 0.1654977, 0., 2531., 12)
(0.76682925, 0.17703648, 0., 2830., 13)
(0.7723554, 0.19256982, 0., 3058., 14)
(0.76887697, 0.20601995, 0., 3941., 15)
(0.75418776, -0.2450505, 0., 2627., 342)
(0.75834966, -0.23185079, 0., 2228., 343)
(0.7488228, -0.21472153, 0., 2594., 344)
(0.74955845, -0.20084362, 0., 2621., 345)
(0.7539198, -0.18797335, 0., 2573., 346)
(0.7746242, -0.17883612, 0., 2459., 347)
(0.76099885, -0.16175532, 0., 2649., 348)
(0.760761, -0.14787701, 0., 2446., 349)
(0.75534755, -0.13318819, 0., 2537., 350)
(0.7516308, -0.11904666, 0., 2789., 351)
(0.7506232, -0.10549325, 0., 2568., 352)
(0.7592978, -0.09323008, 0., 2861., 353)
