('x','y','z','intensity','index')
(0.888, 0., 0., 1948., 0)
(0.938857, 0.01638781, 0., 1022., 1)
(0.92043895, 0.03214244, 0., 3817., 2)
(0.81288445, 0.04260147, 0., 580., 3)
(0.9187565, 0.06424572, 0., 2161., 4)
(0.91550297, 0.08009613, 0., 2067., 5)
(0.9129711, 0.09595713, 0., 2031., 6)
(0.90420955, 0.11102297, 0., 1906., 7)
(0.91302717, 0.1283176, 0., 1887., 8)
(0.91953784, 0.14564048, 0., 2046., 9)
(0.95624834, 0.16861238, 0., 3975., 10)
(0.8623129, -0.29691818, 0., 1251., 341)
(0.8673635, -0.28182355, 0., 1997., 342)
(0.8769314, -0.26810488, 0., 2037., 343)
(0.8824382, -0.25303513, 0., 2174., 344)
(0.8896177, -0.23837239, 0., 2015., 345)
(0.8984938, -0.22401972, 0., 1843., 346)
(0.9042154, -0.20875461, 0., 2138., 347)
(0.8998958, -0.1912788, 0., 2246., 348)
(0.895244, -0.17401785, 0., 2184., 349)
(0.89125097, -0.15715164, 0., 2036., 350)
(0.89188254, -0.14126037, 0., 4335., 351)
(0.8783678, -0.12344658, 0., 1507., 352)
(0.89329153, -0.10968245, 0., 2086., 353)
(0.9079985, -0.09543453, 0., 2047., 354)
(0.9025524, -0.07896315, 0., 1950., 355)
(0.8608977, -0.06019988, 0., 4352., 356)
(0.8668104, -0.04542765, 0., 1974., 357)
(0.87246823, -0.0304673, 0., 2270., 358)
(0.89086425, -0.01555014, 0., 2101., 359)
(0.92, 0., 0., 4190., 0)
(0.90686184, 0.01582933, 0., 520., 1)
(0.90744686, 0.03168874, 0., 2105., 2)
(0.92073643, 0.04825375, 0., 580., 3)
(0.91077596, 0.06368766, 0., 2009., 4)
(0.92048395, 0.08053191, 0., 2163., 5)
(0.91694915, 0.09637524, 0., 2021., 6)
(0.92406046, 0.11346035, 0., 2344., 7)
(0.92094934, 0.12943098, 0., 2338., 8)
(0.92842704, 0.1470484, 0., 2174., 9)
(0.94147617, 0.16600765, 0., 4194., 10)
(0.88500535, -0.30473182, 0., 1790., 341)
(0.8901889, -0.28923994, 0., 2045., 342)
(0.89892644, -0.27482945, 0., 2042., 343)
(0.89397335, -0.2563428, 0., 2061., 344)
(0.8934814, -0.23940766, 0., 1890., 345)
(0.8975235, -0.2237778, 0., 2017., 346)
(0.9129847, -0.21077918, 0., 2053., 347)
(0.914568, -0.19439748, 0., 2200., 348)
(0.87659305, -0.17039247, 0., 2110., 349)
(0.87943333, -0.15506786, 0., 2165., 350)
(0.89287025, -0.1414168, 0., 4735., 351)
(0.8971829, -0.12609087, 0., 1961., 352)
(0.8883288, -0.1090731, 0., 2205., 353)
(0.90103686, -0.09470283, 0., 1989., 354)
(0.89059806, -0.07791728, 0., 1908., 355)
(0.8958125, -0.06264136, 0., 4070., 356)
(0.8877817, -0.04652671, 0., 1641., 357)
(0.8894578, -0.0310606, 0., 2205., 358)
(0.9008628, -0.01572466, 0., 2096., 359)
(0.922, 0., 0., 4042., 0)
(0.800878, 0.01397938, 0., 454., 1)
(0.9164414, 0.03200284, 0., 2113., 2)
(0.91374606, 0.0478874, 0., 601., 3)
(0.91077596, 0.06368766, 0., 2189., 4)
(0.91351056, 0.07992181, 0., 2041., 5)
(0.91595465, 0.09627072, 0., 1933., 6)
(0.92009026, 0.11297288, 0., 2043., 7)
(0.92193955, 0.12957016, 0., 2065., 8)
(0.90175945, 0.14282466, 0., 1996., 9)
(0.94935465, 0.16739684, 0., 4248., 10)
(0.88973296, -0.30635968, 0., 1610., 341)
(0.89494413, -0.290785, 0., 2026., 342)
(0.88649446, -0.2710286, 0., 1871., 343)
(0.8920508, -0.25579152, 0., 2060., 344)
(0.90024287, -0.24121939, 0., 2004., 345)
(0.8955829, -0.22329395, 0., 1942., 346)
(0.8964205, -0.20695502, 0., 2032., 347)
(0.9038084, -0.19211045, 0., 2179., 348)
(0.90604186, -0.17611673, 0., 2073., 349)
(0.90602314, -0.15975636, 0., 2087., 350)
(0.82669514, -0.13093568, 0., 4440., 351)
(0.90708554, -0.12748261, 0., 1524., 352)
(0.92009026, -0.11297292, 0., 2267., 353)
(0.86821765, -0.09125339, 0., 1991., 354)
(0.87864375, -0.07687141, 0., 1959., 355)
(0.8888295, -0.06215306, 0., 3741., 356)
(0.86780906, -0.04547999, 0., 2004., 357)
(0.88845843, -0.03102569, 0., 2175., 358)
(0.90986145, -0.01588173, 0., 2005., 359)
(0.902, 0., 0., 4211., 0)
(0.8808658, 0.01537557, 0., 454., 1)
(0.9354298, 0.03266593, 0., 2061., 2)
(0.82486796, 0.0432295, 0., 603., 3)
(0.94170046, 0.06585011, 0., 2002., 4)
(0.92048395, 0.08053191, 0., 2063., 5)
(0.8990478, 0.09449373, 0., 2222., 6)
(0.92803067, 0.11394784, 0., 2464., 7)
(0.93679357, 0.13165775, 0., 2266., 8)
(0.9225009, 0.14610979, 0., 2029., 9)
(0.9385218, 0.16548671, 0., 3621., 10)
(0.8585308, -0.2956159, 0., 1496., 341)
(0.8635593, -0.28058746, 0., 1903., 342)
(0.8845819, -0.27044386, 0., 1956., 343)
(0.8901283, -0.25524023, 0., 2014., 344)
(0.8963791, -0.24018411, 0., 1949., 345)
(0.8975235, -0.2237778, 0., 1928., 346)
(0.88959986, -0.20538035, 0., 2049., 347)
(0.8901143, -0.18919969, 0., 2305., 348)
(0.9040786, -0.17573513, 0., 2043., 349)
(0.8882966, -0.1566307, 0., 1901., 350)
(0.89287025, -0.1414168, 0., 4650., 351)
(0.8892607, -0.12497748, 0., 1535., 352)
(0.8952766, -0.10992619, 0., 2139., 353)
(0.908993, -0.09553906, 0., 2622., 354)
(0.89358664, -0.07817875, 0., 2019., 355)
(0.90279543, -0.06312965, 0., 4134., 356)
(0.8927748, -0.04678839, 0., 1639., 357)
(0.9014505, -0.03147939, 0., 2200., 358)
(0.9198599, -0.01605626, 0., 1931., 359)
(0.922, 0., 0., 2090., 0)
(0.8618687, 0.01504397, 0., 980., 1)
(0.90844625, 0.03172364, 0., 2467., 2)
(0.91075015, 0.04773039, 0., 2199., 3)
(0.91376865, 0.06389693, 0., 580., 4)
(0.931442, 0.08149062, 0., 2161., 5)
(0.92490536, 0.09721147, 0., 2208., 6)
(0.9061946, 0.11126671, 0., 2088., 7)
(0.91302717, 0.1283176, 0., 1993., 8)
(0.925464, 0.14657909, 0., 2269., 9)
(0.92571926, 0.16322929, 0., 1883., 10)
